batch # 0; loading time: 11.35810136795044s
batch # 1; loading time: 8.877370357513428s
batch # 2; loading time: 9.058289289474487s
batch # 3; loading time: 8.850363969802856s
batch # 4; loading time: 9.374096870422363s
batch # 5; loading time: 8.893296718597412s
batch # 6; loading time: 8.753204584121704s
batch # 7; loading time: 8.796904802322388s
batch # 8; loading time: 8.759361982345581s
batch # 9; loading time: 8.723932266235352s
batch # 10; loading time: 8.785709857940674s
batch # 11; loading time: 10.059239864349365s
batch # 12; loading time: 14.764631271362305s
batch # 13; loading time: 8.918365240097046s
batch # 14; loading time: 8.763185024261475s
batch # 15; loading time: 9.201586723327637s
batch # 16; loading time: 9.286361455917358s
batch # 17; loading time: 8.810821056365967s
batch # 18; loading time: 8.754144430160522s
batch # 19; loading time: 8.802941799163818s
batch # 20; loading time: 8.888469219207764s
batch # 21; loading time: 8.71716833114624s
batch # 22; loading time: 8.762452602386475s
batch # 23; loading time: 10.439082145690918s
batch # 24; loading time: 8.995581150054932s
batch # 25; loading time: 8.787772417068481s
batch # 26; loading time: 9.005940675735474s
batch # 27; loading time: 8.809761047363281s
batch # 28; loading time: 8.717663288116455s
batch # 29; loading time: 9.49343228340149s
batch # 30; loading time: 9.407431602478027s
batch # 31; loading time: 8.685795783996582s
batch # 32; loading time: 8.821126461029053s
batch # 33; loading time: 9.230218648910522s
batch # 34; loading time: 8.775977611541748s
batch # 35; loading time: 8.68045711517334s
batch # 36; loading time: 9.16975450515747s
batch # 37; loading time: 8.791186332702637s
batch # 38; loading time: 8.888286590576172s
batch # 39; loading time: 8.701463460922241s
batch # 40; loading time: 8.873053312301636s
batch # 41; loading time: 8.695700883865356s
batch # 42; loading time: 8.765787124633789s
batch # 43; loading time: 8.743390083312988s
batch # 44; loading time: 8.8774893283844s
batch # 45; loading time: 8.834853887557983s
batch # 46; loading time: 8.751389980316162s
batch # 47; loading time: 8.731104135513306s
batch # 48; loading time: 8.85001254081726s
batch # 49; loading time: 8.776766538619995s
batch # 50; loading time: 8.742961645126343s
batch # 51; loading time: 8.792147874832153s
batch # 52; loading time: 8.905929327011108s
batch # 53; loading time: 8.905566215515137s
batch # 54; loading time: 8.65839171409607s
batch # 55; loading time: 9.104194641113281s
batch # 56; loading time: 8.966917991638184s
batch # 57; loading time: 8.686301708221436s
batch # 58; loading time: 8.717543840408325s
batch # 59; loading time: 8.759688377380371s
batch # 60; loading time: 10.402665138244629s
batch # 61; loading time: 8.759138345718384s
batch # 62; loading time: 8.742687225341797s
batch # 63; loading time: 9.522647142410278s
batch # 64; loading time: 9.438806533813477s
batch # 65; loading time: 8.917645692825317s
batch # 66; loading time: 8.826131105422974s
batch # 67; loading time: 8.822777271270752s
batch # 68; loading time: 8.84505581855774s
batch # 69; loading time: 8.929787397384644s
batch # 70; loading time: 8.813691139221191s
batch # 71; loading time: 8.950345277786255s
batch # 72; loading time: 8.956194400787354s
batch # 73; loading time: 9.447417259216309s
batch # 74; loading time: 8.894057750701904s
batch # 75; loading time: 8.96515703201294s
batch # 76; loading time: 8.888514518737793s
batch # 77; loading time: 9.273395776748657s
batch # 78; loading time: 9.172800779342651s
batch # 79; loading time: 9.177648544311523s
batch # 80; loading time: 11.42402172088623s
batch # 81; loading time: 9.399341106414795s
batch # 82; loading time: 9.163185834884644s
batch # 83; loading time: 8.914806842803955s
batch # 84; loading time: 8.808349609375s
batch # 85; loading time: 9.688003063201904s
batch # 86; loading time: 8.995819807052612s
batch # 87; loading time: 8.952698707580566s
batch # 88; loading time: 8.868375778198242s
batch # 89; loading time: 8.857136487960815s
batch # 90; loading time: 8.921360969543457s
batch # 91; loading time: 8.873700141906738s
batch # 92; loading time: 8.824087619781494s
batch # 93; loading time: 8.87227463722229s
batch # 94; loading time: 9.690828800201416s
batch # 95; loading time: 9.013217687606812s
batch # 96; loading time: 8.830833911895752s
batch # 97; loading time: 8.9501211643219s
batch # 98; loading time: 8.779276847839355s
batch # 99; loading time: 9.284728050231934s
total time elapsed: 1258.173177242279
validation loss: 1.74296236038208, validation accuracy: 0.3564453125
