batch # 0; loading time: 14.296227216720581s
batch # 1; loading time: 14.543368101119995s
batch # 2; loading time: 16.940659999847412s
batch # 3; loading time: 14.773031949996948s
batch # 4; loading time: 14.646966934204102s
batch # 5; loading time: 15.171264410018921s
batch # 6; loading time: 14.69676947593689s
batch # 7; loading time: 14.726044178009033s
batch # 8; loading time: 15.970573902130127s
batch # 9; loading time: 14.649067640304565s
batch # 10; loading time: 15.840314388275146s
batch # 11; loading time: 15.642783403396606s
batch # 12; loading time: 18.709025621414185s
batch # 13; loading time: 36.56835603713989s
batch # 14; loading time: 15.13516879081726s
batch # 15; loading time: 15.084610223770142s
batch # 16; loading time: 15.418065547943115s
batch # 17; loading time: 14.51107931137085s
batch # 18; loading time: 18.017141103744507s
batch # 19; loading time: 14.855746030807495s
batch # 20; loading time: 16.70753264427185s
batch # 21; loading time: 14.809694290161133s
batch # 22; loading time: 16.582376718521118s
batch # 23; loading time: 15.032107830047607s
batch # 24; loading time: 14.652605772018433s
batch # 25; loading time: 14.800990104675293s
batch # 26; loading time: 15.313652753829956s
batch # 27; loading time: 14.813088178634644s
batch # 28; loading time: 35.82706093788147s
batch # 29; loading time: 24.248008728027344s
batch # 30; loading time: 16.901437282562256s
batch # 31; loading time: 15.462006330490112s
batch # 32; loading time: 16.34504008293152s
batch # 33; loading time: 14.924413442611694s
batch # 34; loading time: 15.579164505004883s
batch # 35; loading time: 14.969513416290283s
batch # 36; loading time: 16.500171899795532s
batch # 37; loading time: 16.02536392211914s
batch # 38; loading time: 15.424762725830078s
batch # 39; loading time: 15.314046859741211s
batch # 40; loading time: 15.836762428283691s
batch # 41; loading time: 14.822964906692505s
batch # 42; loading time: 15.012928009033203s
batch # 43; loading time: 14.752751350402832s
batch # 44; loading time: 15.321641683578491s
batch # 45; loading time: 14.771321773529053s
batch # 46; loading time: 14.871557712554932s
batch # 47; loading time: 16.724224090576172s
batch # 48; loading time: 15.206886529922485s
batch # 49; loading time: 14.954475402832031s
batch # 50; loading time: 14.973231077194214s
batch # 51; loading time: 15.354594469070435s
batch # 52; loading time: 15.049417734146118s
batch # 53; loading time: 15.568755149841309s
batch # 54; loading time: 15.144921779632568s
batch # 55; loading time: 15.040872812271118s
batch # 56; loading time: 15.134416580200195s
batch # 57; loading time: 15.080085754394531s
batch # 58; loading time: 16.194443702697754s
batch # 59; loading time: 15.061964750289917s
batch # 60; loading time: 29.192803382873535s
batch # 61; loading time: 38.876556634902954s
batch # 62; loading time: 62.84235882759094s
batch # 63; loading time: 31.205536127090454s
batch # 64; loading time: 31.57148766517639s
batch # 65; loading time: 29.47832441329956s
batch # 66; loading time: 18.36214256286621s
batch # 67; loading time: 16.051703453063965s
batch # 68; loading time: 20.631953716278076s
batch # 69; loading time: 15.742240190505981s
batch # 70; loading time: 15.555529832839966s
batch # 71; loading time: 15.155088186264038s
batch # 72; loading time: 14.789911270141602s
batch # 73; loading time: 15.275497674942017s
batch # 74; loading time: 15.997668266296387s
batch # 75; loading time: 15.289512634277344s
batch # 76; loading time: 15.331808805465698s
batch # 77; loading time: 16.369166612625122s
batch # 78; loading time: 16.78890061378479s
batch # 79; loading time: 35.53740048408508s
batch # 80; loading time: 35.18446707725525s
batch # 81; loading time: 40.009990215301514s
batch # 82; loading time: 29.742268562316895s
batch # 83; loading time: 20.7345027923584s
batch # 84; loading time: 33.307530879974365s
batch # 85; loading time: 17.203885316848755s
batch # 86; loading time: 14.126589298248291s
batch # 87; loading time: 13.779043674468994s
batch # 88; loading time: 14.552252292633057s
batch # 89; loading time: 24.361472129821777s
batch # 90; loading time: 25.509019136428833s
batch # 91; loading time: 15.526400566101074s
batch # 92; loading time: 14.466115951538086s
batch # 93; loading time: 13.00992202758789s
batch # 94; loading time: 13.932922840118408s
batch # 95; loading time: 13.810587406158447s
batch # 96; loading time: 13.118978500366211s
batch # 97; loading time: 12.541566371917725s
batch # 98; loading time: 12.47983694076538s
batch # 99; loading time: 16.499409914016724s
total time elapsed: 2250.665542602539
validation loss: 2.1814680099487305, validation accuracy: 0.2294921875
