batch # 0; loading time: 10.853780269622803s
batch # 1; loading time: 8.925267219543457s
batch # 2; loading time: 10.446970224380493s
batch # 3; loading time: 8.807527542114258s
batch # 4; loading time: 9.122605323791504s
batch # 5; loading time: 9.000004291534424s
batch # 6; loading time: 9.3022780418396s
batch # 7; loading time: 10.196734189987183s
batch # 8; loading time: 9.082681655883789s
batch # 9; loading time: 9.247572660446167s
batch # 10; loading time: 8.878735542297363s
batch # 11; loading time: 9.267202138900757s
batch # 12; loading time: 9.806411266326904s
batch # 13; loading time: 8.914985656738281s
batch # 14; loading time: 8.861705303192139s
batch # 15; loading time: 8.89259123802185s
batch # 16; loading time: 8.939577341079712s
batch # 17; loading time: 8.859127759933472s
batch # 18; loading time: 9.065922260284424s
batch # 19; loading time: 9.166538715362549s
batch # 20; loading time: 9.14985966682434s
batch # 21; loading time: 8.954091548919678s
batch # 22; loading time: 8.926879167556763s
batch # 23; loading time: 9.14084243774414s
batch # 24; loading time: 9.202686786651611s
batch # 25; loading time: 8.966700792312622s
batch # 26; loading time: 9.012969493865967s
batch # 27; loading time: 9.055098295211792s
batch # 28; loading time: 9.933575630187988s
batch # 29; loading time: 10.745276689529419s
batch # 30; loading time: 9.082464218139648s
batch # 31; loading time: 9.258972406387329s
batch # 32; loading time: 9.804556369781494s
batch # 33; loading time: 9.201663970947266s
batch # 34; loading time: 9.110711812973022s
batch # 35; loading time: 9.479700326919556s
batch # 36; loading time: 8.955850839614868s
batch # 37; loading time: 9.288318872451782s
batch # 38; loading time: 9.128651857376099s
batch # 39; loading time: 9.141966342926025s
batch # 40; loading time: 9.070418119430542s
batch # 41; loading time: 9.264842987060547s
batch # 42; loading time: 9.700267314910889s
batch # 43; loading time: 9.217520713806152s
batch # 44; loading time: 8.804847717285156s
batch # 45; loading time: 9.27813720703125s
batch # 46; loading time: 9.24601125717163s
batch # 47; loading time: 16.74941921234131s
batch # 48; loading time: 11.551028966903687s
batch # 49; loading time: 9.796344518661499s
batch # 50; loading time: 9.025817155838013s
batch # 51; loading time: 9.240691900253296s
batch # 52; loading time: 9.037166833877563s
batch # 53; loading time: 9.53520655632019s
batch # 54; loading time: 8.967333793640137s
batch # 55; loading time: 8.95395565032959s
batch # 56; loading time: 9.019565343856812s
batch # 57; loading time: 9.517567873001099s
batch # 58; loading time: 8.958816051483154s
batch # 59; loading time: 8.951135396957397s
batch # 60; loading time: 8.885454893112183s
batch # 61; loading time: 9.052578449249268s
batch # 62; loading time: 9.1222403049469s
batch # 63; loading time: 9.239508152008057s
batch # 64; loading time: 8.973665237426758s
batch # 65; loading time: 8.8925199508667s
batch # 66; loading time: 9.056624174118042s
batch # 67; loading time: 10.114798545837402s
batch # 68; loading time: 10.477852582931519s
batch # 69; loading time: 9.167414665222168s
batch # 70; loading time: 8.908064365386963s
batch # 71; loading time: 8.90723991394043s
batch # 72; loading time: 9.04243016242981s
batch # 73; loading time: 8.941955327987671s
batch # 74; loading time: 9.128074169158936s
batch # 75; loading time: 9.631469488143921s
batch # 76; loading time: 9.021152257919312s
batch # 77; loading time: 9.098446369171143s
batch # 78; loading time: 10.950381517410278s
batch # 79; loading time: 10.739152193069458s
batch # 80; loading time: 11.078274965286255s
batch # 81; loading time: 10.787227153778076s
batch # 82; loading time: 10.697893381118774s
batch # 83; loading time: 11.281016111373901s
batch # 84; loading time: 11.281664609909058s
batch # 85; loading time: 10.935314416885376s
batch # 86; loading time: 10.910972595214844s
batch # 87; loading time: 12.590954542160034s
batch # 88; loading time: 10.941644430160522s
batch # 89; loading time: 10.884465217590332s
batch # 90; loading time: 10.48551321029663s
batch # 91; loading time: 10.94604754447937s
batch # 92; loading time: 10.677735090255737s
batch # 93; loading time: 20.8496253490448s
batch # 94; loading time: 17.28130054473877s
batch # 95; loading time: 10.188197135925293s
batch # 96; loading time: 11.179376125335693s
batch # 97; loading time: 10.956712484359741s
batch # 98; loading time: 10.686368942260742s
batch # 99; loading time: 10.818278789520264s
total time elapsed: 1038.4080390930176
validation loss: 2.2413978576660156, validation accuracy: 0.2294921875
