batch # 0; loading time: 5.5325000286102295s
batch # 1; loading time: 6.739036798477173s
batch # 2; loading time: 6.547147750854492s
batch # 3; loading time: 6.457754135131836s
batch # 4; loading time: 6.7009992599487305s
batch # 5; loading time: 6.549560070037842s
batch # 6; loading time: 6.952617406845093s
batch # 7; loading time: 7.346002101898193s
batch # 8; loading time: 6.768692255020142s
batch # 9; loading time: 6.9056243896484375s
batch # 10; loading time: 6.790144205093384s
batch # 11; loading time: 6.3030784130096436s
batch # 12; loading time: 6.211248874664307s
batch # 13; loading time: 6.516292333602905s
batch # 14; loading time: 6.239915132522583s
batch # 15; loading time: 6.12319540977478s
batch # 16; loading time: 6.778454542160034s
batch # 17; loading time: 7.2843663692474365s
batch # 18; loading time: 7.988091230392456s
batch # 19; loading time: 8.361021041870117s
batch # 20; loading time: 6.960391998291016s
batch # 21; loading time: 7.787794828414917s
batch # 22; loading time: 7.458880662918091s
batch # 23; loading time: 7.745204210281372s
batch # 24; loading time: 6.780579566955566s
batch # 25; loading time: 7.79784083366394s
batch # 26; loading time: 7.323898077011108s
batch # 27; loading time: 6.185206651687622s
batch # 28; loading time: 7.330852270126343s
batch # 29; loading time: 6.976164817810059s
batch # 30; loading time: 7.3929123878479s
batch # 31; loading time: 6.919237852096558s
batch # 32; loading time: 6.4918053150177s
batch # 33; loading time: 8.422390699386597s
batch # 34; loading time: 7.08502984046936s
batch # 35; loading time: 6.625156879425049s
batch # 36; loading time: 8.187106132507324s
batch # 37; loading time: 8.341655731201172s
batch # 38; loading time: 8.72283935546875s
batch # 39; loading time: 8.494423151016235s
batch # 40; loading time: 12.564074754714966s
batch # 41; loading time: 7.623733758926392s
batch # 42; loading time: 7.281323194503784s
batch # 43; loading time: 6.426795959472656s
batch # 44; loading time: 7.71510910987854s
batch # 45; loading time: 7.404085636138916s
batch # 46; loading time: 6.520612716674805s
batch # 47; loading time: 6.449147939682007s
batch # 48; loading time: 9.639628171920776s
batch # 49; loading time: 6.354837656021118s
batch # 50; loading time: 6.565984725952148s
batch # 51; loading time: 7.1325390338897705s
batch # 52; loading time: 8.268688440322876s
batch # 53; loading time: 8.093459606170654s
batch # 54; loading time: 7.079387426376343s
batch # 55; loading time: 6.460517883300781s
batch # 56; loading time: 7.82248067855835s
batch # 57; loading time: 6.337025165557861s
batch # 58; loading time: 8.132607698440552s
batch # 59; loading time: 7.194550514221191s
batch # 60; loading time: 7.582337141036987s
batch # 61; loading time: 15.23642635345459s
batch # 62; loading time: 6.938684701919556s
batch # 63; loading time: 6.376009464263916s
batch # 64; loading time: 6.654363393783569s
batch # 65; loading time: 7.4481823444366455s
batch # 66; loading time: 8.634359121322632s
batch # 67; loading time: 8.261574029922485s
batch # 68; loading time: 6.901387929916382s
batch # 69; loading time: 7.657978057861328s
batch # 70; loading time: 6.753141641616821s
batch # 71; loading time: 8.227650165557861s
batch # 72; loading time: 8.27369737625122s
batch # 73; loading time: 6.341567516326904s
batch # 74; loading time: 8.144145965576172s
batch # 75; loading time: 6.556694984436035s
batch # 76; loading time: 6.291651010513306s
batch # 77; loading time: 8.792860507965088s
batch # 78; loading time: 7.664966106414795s
batch # 79; loading time: 7.798595905303955s
batch # 80; loading time: 6.709550380706787s
batch # 81; loading time: 8.230334281921387s
batch # 82; loading time: 7.105311632156372s
batch # 83; loading time: 6.5927894115448s
batch # 84; loading time: 7.696529388427734s
batch # 85; loading time: 7.095887660980225s
batch # 86; loading time: 10.736606359481812s
batch # 87; loading time: 9.111525297164917s
batch # 88; loading time: 6.139672040939331s
batch # 89; loading time: 7.8968915939331055s
batch # 90; loading time: 8.456096649169922s
batch # 91; loading time: 7.163077354431152s
batch # 92; loading time: 6.923420667648315s
batch # 93; loading time: 6.826613426208496s
batch # 94; loading time: 7.744444847106934s
batch # 95; loading time: 8.22031021118164s
batch # 96; loading time: 8.530362129211426s
batch # 97; loading time: 8.625563144683838s
batch # 98; loading time: 8.513914823532104s
batch # 99; loading time: 8.973846435546875s
total time elapsed: 1016.1448137760162
validation loss: 2.1491236686706543, validation accuracy: 0.2265625
